period,path_radius,max_speed_cmd,actual_vx,speed_efficiency,mean_slip_mm,max_slip_mm,peak_torque_Nm
2.0,0.02,0.04,0.0378238599317266,0.9455964982931649,3.9964235305876716,10.505382144064127,0.32844244916674015
2.0,0.025,0.05,0.04798974344334478,0.9597948688668956,3.9609862584637408,10.924077134571668,0.37085182612280576
2.0,0.03,0.06,0.05809542100568277,0.9682570167613795,3.797108202835994,10.23567093645989,0.46871696241387184
2.0,0.04,0.08,0.07834258430061525,0.9792823037576905,3.3866054240791246,10.590494073869921,0.6604638346991152
2.0,0.05,0.1,0.09839286000418652,0.9839286000418652,3.515360839969136,8.57751916882687,0.7602568343173957
2.0,0.06,0.12,0.11828097358375059,0.9856747798645883,3.3970026154664628,8.439929874080523,0.8907332317645604
2.0,0.07,0.14,0.13798129028074513,0.9855806448624651,2.92573774355016,6.692804692622232,1.5
1.5,0.02,0.05333333333333334,0.05000999151735156,0.9376873409503417,3.7987399194809184,10.538101709330915,0.3737909608981784
1.5,0.025,0.06666666666666667,0.06354053553454991,0.9531080330182488,3.4094205500149855,10.241367547954539,0.4810569517533523
1.5,0.03,0.08,0.07679179702982807,0.9598974628728508,3.058574679110133,8.624841630486802,0.5043584236667602
1.5,0.04,0.10666666666666667,0.10342187524105446,0.9695800803848855,3.055801669218666,7.5789912503458785,0.6448796918671729
1.5,0.05,0.13333333333333333,0.12983032446385054,0.973727433478879,3.0602693903785707,7.356881627403889,0.7598226940402455
1.5,0.06,0.16,0.15600302567566984,0.9750189104729365,3.3609500025005867,8.492149424906655,0.9028147736705883
1.5,0.07,0.18666666666666668,0.18185233092976424,0.9742089156951655,3.045268994745927,6.8633085909874065,1.5
1.2,0.02,0.06666666666666667,0.06212949207670537,0.9319423811505806,3.73701775031927,9.40676148581819,0.3994279269680572
1.2,0.025,0.08333333333333334,0.07892635269261737,0.9471162323114084,2.9859581787354315,7.879989844233905,0.4977198448321687
1.2,0.03,0.1,0.09554281990639808,0.9554281990639808,3.052695865506919,7.989723037118184,0.6056813844332805
1.2,0.04,0.13333333333333333,0.1281957731984598,0.9614682989884484,2.5211247989626493,5.409975133890884,0.6944595832709766
1.2,0.05,0.16666666666666669,0.1607762444741486,0.9646574668448915,2.583782902573702,4.397812047911185,1.0115164878730205
1.2,0.06,0.2,0.19322348973491416,0.9661174486745707,3.178230844410341,5.393846183849887,1.5
1.2,0.07,0.23333333333333336,0.22453292896226257,0.9622839812668394,3.4719102067067675,5.1462471510908845,1.5
1.0,0.02,0.08,0.07419540862491802,0.9274426078114753,3.734722995435683,10.46418459562927,0.47418145315322313
1.0,0.025,0.1,0.0938657920354418,0.938657920354418,3.055622797860246,8.1012722546292,0.5963392293939975
1.0,0.03,0.12,0.11289914533572003,0.9408262111310003,2.7415338801342695,6.761917689063027,0.6990908532853926
1.0,0.04,0.16,0.1515231671694762,0.9470197948092263,2.9720559043294266,6.584291990319843,0.8222616455452005
1.0,0.05,0.2,0.19004263902044854,0.9502131951022427,2.9049384033080434,5.0244477370359,1.5
1.0,0.06,0.24,0.22592200414765748,0.9413416839485729,3.9418101814859323,8.237520104719154,1.5
